GEOID,violent_per_1000,property_per_1000,crime_low_60
06037204920,30.587275693311582,86.86786296900489,False
06037205110,21.432600112803158,35.53299492385787,False
06037205120,69.67252939461666,167.33067729083663,False
06037206010,40.712468193384225,101.21571953633023,False
06037206020,25.764051286186596,20.441899846786548,False
06037206050,74.70850726932488,159.34935943572768,False
06037111402,14.97338065661047,35.27062999112689,False
06037111303,16.41976209589141,44.44282273954608,False
06037104321,30.823117338003506,37.12784588441331,False
06037104322,68.62202545655784,154.95296070835641,False
06037108203,4.148494840974365,10.53079459631954,True
06037320101,0.5863383172090296,1.465845793022574,True
06037920121,0.0,0.0,True
06037231901,62.780760381286285,65.08162594499835,False
06037232402,27.9204107830552,29.204107830551987,False
06037135204,12.801365478984426,37.33731598037124,False
06037460101,0.0,0.0,True
06037132302,25.59948152948801,46.98639014906028,False
06037135115,14.944939695857368,60.56633455689565,False
06037132301,39.050325419378495,64.35053625446878,False
06037134907,30.005129081894342,77.44913660454779,False
06037119003,17.474633596392334,23.67531003382187,False
06037111401,30.11959249963089,70.4266942270781,False
06037103401,15.67314132618888,54.253181513730745,False
06037207400,181.41338695777077,265.01005458201666,False
06037192410,10.64249113125739,56.99645250295625,False
06037192510,40.488596566157,66.62680447595456,False
06037192520,20.82350562706382,32.95370307972235,False
06037192610,9.642327344651394,17.306741387835835,False
06037192700,27.67646427805192,47.62926410641493,False
06037194500,105.170481831279,650.2321114134785,False
06037195100,4.63429377392706,50.57424944589966,False
06037195300,15.559815086255496,110.2717330025933,False
06037137501,33.281972265023114,136.45608628659477,False
06037137502,35.309695453876714,93.12932175959983,False
06037195500,16.90805426305787,62.12726915263124,False
06037195600,36.44592663172939,123.98761314911863,False
06037195710,25.6390690576116,49.904616558565436,False
06037195720,26.939243408482994,68.7810470003821,False
06037195802,24.174053182917007,48.0027627489352,False
06037137504,5.235602094240838,35.07853403141361,False
06037138000,9.785845979293716,37.22876187774783,False
06037139200,13.51039260969977,55.60046189376443,False
06037143200,18.95919481938051,67.87859873605369,False
06037201301,20.594965675057207,33.72798726494876,False
06037201302,6.397637795275591,33.218503937007874,False
06037201401,25.73415765069552,24.57496136012365,False
06037201402,18.896149909455946,33.06826234154791,False
06037236001,30.161494616846102,68.39772007599747,False
06037236102,54.84563007182166,79.47019867549669,False
06037409100,0.0,0.0,True
06037234301,102.44171103359648,81.51275931705526,False
06037231601,29.668912139888207,36.978644116382405,False
06037231603,44.22857142857143,43.542857142857144,False
06037234001,20.221083850094367,46.50849285521704,False
06037236205,51.63674762407603,74.12882787750792,False
06037206051,241.3793103448276,1006.5061808718283,False
06037231301,29.363784665579118,31.24607855439829,False
06037231302,92.61744966442953,82.88590604026845,False
06037532607,0.1981375074301565,0.0,True
06037275604,6.430125964518895,45.40658181098727,False
06037530007,0.0,0.0,True
06037271804,10.550007033338023,40.934027289351526,False
06037551002,0.0,0.0,True
06037502700,0.0,0.0,True
06037502901,0.0,0.0,True
06037550801,0.0,0.0,True
06037502604,0.0,0.0,True
06037276608,38.05279396640384,98.7315735344532,False
06037550502,0.0,0.0,True
06037276102,33.711217183770884,287.291169451074,False
06037408707,0.0,0.0,True
06037275312,21.619766643788605,34.488675360329445,False
06037275605,22.604191193783844,120.08476571697668,False
06037533108,0.0,0.0,True
06037276101,15.219155844155845,68.18181818181817,False
06037139301,18.5586888406845,56.88117618703302,False
06037139302,22.534668721109398,40.63944530046225,False
06037139502,25.501843506759528,71.28226136829169,False
06037139600,30.107526881720432,118.08406647116325,False
06037139701,22.42263265180061,93.95268392118106,False
06037139801,7.0468852767076955,44.81819035986094,False
06037143500,4.678727386150967,48.65876481597005,False
