GEOID,income,ba_rate,pop,pop_density
06037101110,80500.33333333333,0.2838001954867394,4153.333333333333,3635.617732594188
06037101122,107695.0,0.3672074949333901,4162.0,1574.103315185634
06037101220,75710.66666666667,0.32366736251934797,3460.6666666666665,4951.689784409284
06037101221,53116.666666666664,0.26242308339520704,3760.0,10616.130872047388
06037101222,40188.666666666664,0.1592546043761676,2556.6666666666665,8622.472839772645
06037101300,124910.33333333333,0.36764228699645823,4178.0,1619.0798758989615
06037101400,84745.66666666667,0.2840468516907761,3661.6666666666665,580.2906767652563
06037102103,71500.0,0.31142422799697606,1984.6666666666667,1672.7223485988213
06037102104,107788.66666666667,0.4404588908636327,4105.333333333333,2474.847125542227
06037102105,86611.33333333333,0.21659550715058462,1597.6666666666667,3242.2749906479344
06037102107,102832.0,0.3538930915276204,3623.6666666666665,280.7180743034481
06037103101,118544.66666666667,0.35118921901609196,2769.0,1364.1697778014252
06037103102,76715.33333333333,0.19775603828894014,4497.666666666667,3624.143083414382
06037103201,81613.66666666667,0.25743003489820915,4330.333333333333,2215.243350220066
06037103202,117463.0,0.30067773571945206,2033.6666666666667,429.18784027346464
06037103300,133834.33333333334,0.3680015048158092,3872.6666666666665,630.5267079727329
06037103401,99801.66666666667,0.4464720618538092,2488.3333333333335,1775.3038468801028
06037103402,106537.66666666667,0.34914768125246903,3754.6666666666665,3416.0817263586305
06037104103,104636.33333333333,0.17514120137254652,4200.333333333333,4425.554212775702
06037104105,59974.333333333336,0.17116820748402087,5950.333333333333,10177.042107219537
06037104108,70163.0,0.1064556280306349,4951.0,4514.715913028571
06037104124,83499.33333333333,0.273136617284776,4015.3333333333335,896.3331817617999
06037104201,100772.66666666667,0.10823328043444032,4432.666666666667,4066.304802844762
06037104203,68960.0,0.1107765131842283,5050.666666666667,7133.820817366749
06037104204,72532.0,0.14136060223274236,3668.0,1378.6395068168988
06037104310,95390.0,0.08556839908740062,4476.333333333333,2967.16891342049
06037104321,53405.666666666664,0.03992779462257672,2855.0,5491.894886478397
06037104322,88904.33333333333,0.14082303370192384,1807.0,2610.0948705208057
06037104401,74138.33333333333,0.10977704736085674,2974.0,4366.357028234504
06037104403,92208.0,0.09049517084471255,2351.3333333333335,3392.5710677268576
06037104404,83951.33333333333,0.0680386162450511,3391.3333333333335,6284.669458754926
06037104500,74827.33333333333,0.07635269476578867,3437.3333333333335,6473.29639687484
06037104610,86166.0,0.04316952494653689,3119.3333333333335,5267.916150176704
06037104620,87387.66666666667,0.09642887626851522,3330.6666666666665,6270.422644810554
06037104701,51285.0,0.09193934425633622,3994.0,7255.1698080304595
06037104703,,0.0817448207088564,2365.6666666666665,2024.985184253108
06037104704,69545.33333333333,0.1319728788291951,4599.666666666667,2765.673737884519
06037104821,74718.33333333333,0.08478858691917147,3367.0,6331.3037559091545
06037104822,49485.666666666664,0.07972468079849769,2277.0,3767.6718203960604
06037104823,82270.66666666667,0.18665120767920432,3264.0,6143.0402403012795
06037104824,105362.66666666667,0.0653607438754807,2605.0,4400.129723594155
06037106010,138623.0,0.2320632545642708,3760.0,1493.3630735000738
06037106020,121168.0,0.28598536675657277,4867.333333333333,2420.6387887058518
06037106111,116512.33333333333,0.2426906834445083,4828.666666666667,1740.536120209696
06037106112,108098.66666666667,0.23818589216073258,5150.666666666667,1595.3858945461488
06037106113,116027.66666666667,0.21945785946673202,3918.3333333333335,2714.5367309957605
06037106114,77863.33333333333,0.16224908433130195,6845.666666666667,6770.380040615028
06037106403,100709.0,0.17931230477935847,3737.0,3379.9306105762794
06037106405,89501.33333333333,0.19836900949285355,4208.666666666667,3591.8277242673394
06037106406,103550.0,0.20609213223791537,6437.333333333333,3198.1632421214263
06037106407,31939.333333333332,0.12930774398351189,2304.6666666666665,9928.088132244315
06037106408,55622.333333333336,0.08882292516575281,3789.0,16540.795390055442
06037106510,128273.33333333333,0.3390518055592054,5680.0,982.3570065229889
06037106520,97534.66666666667,0.16185666098969673,5433.0,2462.9603940736633
06037106603,149229.66666666666,0.43038207120553923,3669.3333333333335,355.6010394094335
06037106604,67657.66666666667,0.15328482085076678,4283.0,1640.0140452288535
06037106641,118667.0,0.4639202177331101,2191.0,1929.558350425762
06037106642,138690.33333333334,0.4642763109247512,3525.6666666666665,2234.8377761747743
06037106643,203545.0,0.5158656965895728,4233.0,975.583673527711
06037106645,146376.0,0.4425222580755255,3528.0,1395.6071603191858
06037106646,119235.33333333333,0.3966790068254822,3108.0,2105.387230704512
06037106648,63939.666666666664,0.08900230856036939,4603.666666666667,5805.878267829608
06037106649,105463.33333333333,0.19141673059254927,2645.3333333333335,2377.4537338695786
06037107010,91059.33333333333,0.14578960947993547,3032.0,4428.404299291192
06037107020,82476.33333333333,0.16138145610717994,4828.0,4857.318776132737
06037108101,153519.33333333334,0.5035420066960286,2224.6666666666665,1971.1160905862814
